IE_XML_ID,IE_NAME,IE_ID,IE_CODE,Фото,Логотип,Задача
377,Горнорудная компания “Алроса”,377,alrosa-presentation,https://veonix.ru/wp/wp-content/uploads/2019/06/alrosa640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/alrosalogo.svg,Дизайн и верстка маркетингового отчета о продвижении продукции бренда
407,Jeratix,407,analytical-platform,https://veonix.ru/wp/wp-content/uploads/2019/02/jeratix001.png,https://veonix.ru/wp/wp-content/uploads/2019/02/jeratixlogo.svg,"Создать интуитивно понятный, современный интерфейс платформы"
409,Кадровое агентство АРТБ,409,artb,https://veonix.ru/wp/wp-content/uploads/2019/06/artb640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/artblogo.svg,Создание современного многостраничного сайта кадрового агентства с адаптивной версткой
412,Перевозчик крупногабаритных грузов,412,barrus-website,https://veonix.ru/wp/wp-content/uploads/2019/09/barrusweb640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/09/barrus.svg,Разработка сайта логистической компании
391,"Инвестиционный фонд ""Bars Capital LTD""",391,bars-capital-ltd,https://veonix.ru/wp/wp-content/uploads/2019/09/barscap640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/09/barslogo.svg,Создать мощный маркетинг-кит и презентацию
345,"Мобильный оператор ""Билайн""",345,beeline-presentation,https://veonix.ru/wp/wp-content/uploads/2018/06/beeline640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/p3.svg,"Создать лаконичную корпоративную презентацию 
о компании на английском языке"
335,Косметическая компания,335,branding-cosmetics,https://veonix.ru/wp/wp-content/uploads/2018/06/moran640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/moran.svg,Разработка единой стилистической концепции бренда
331,1C:Отель,331,branding-it-companies,https://veonix.ru/wp/wp-content/uploads/2018/06/1chotel640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color1806181-chotel.svg,Разработка корпоративной айдентики и маркетинг-кита
338,"Логистическая компания ""Barrus Projects""",338,branding-logistics-company,https://veonix.ru/wp/wp-content/uploads/2018/11/zakazat-firmenniy-stil-logisticheskoy-kompanii.png,https://veonix.ru/wp/wp-content/uploads/2018/11/barruss.svg,"Разработка айдентики, интернет портала, презентации"
339,"Компания ""Технологии приборостроения""",339,branding-production,https://veonix.ru/wp/wp-content/uploads/2018/11/zakazatfirmenniystilproizvodstvo.png,https://veonix.ru/wp/wp-content/uploads/2018/11/ТП_3_на-сайт.svg,"Брендинг, разработка серии веб-сайтов"
355,Компания Thermos,355,business-presentation-for-meetings,https://veonix.ru/wp/wp-content/uploads/2018/06/thermos640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618thermos.svg,Разработка презентации для деловых встреч
364,Ситилинк,364,citilink-presentation,https://veonix.ru/wp/wp-content/uploads/2018/12/citilink640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/12/citilink.svg,Разработка презентации
361,"Оптовый поставщик кофе ""BoneFuse""",361,coffee-presentation,https://veonix.ru/wp/wp-content/uploads/2018/11/bonfuse.png,https://veonix.ru/wp/wp-content/uploads/2018/11/bonfuse-logo.svg,"Разработка фирменного стиля, презентации"
410,Gasparov Empire,410,confectionery-to-order-website,https://veonix.ru/wp/wp-content/uploads/2019/06/gasparovem640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logogasparov.svg,Создание сайта кондитерской
405,PR-агентство,405,copywriter-agency-pr-website,https://veonix.ru/wp/wp-content/uploads/2018/06/pr-agency-site.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color190618-4.svg,Разработка дизайна посадочной страницы
334,Инвестиционная компания Ярд Капитал,334,corporate-identity-investment,https://veonix.ru/wp/wp-content/uploads/2018/06/firmenniy-stil-investicionnoy-kompanii.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618.svg,Разработка бренда для криптофонда
337,Стартап в области ритейла,337,corporate-identity-startup,https://veonix.ru/wp/wp-content/uploads/2018/06/bitposter640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618bitposter.svg,Разработка фирменного стиля
349,Застройщик выставочных стендов премиум-сегмента,349,corporate-style-event-agencies,https://veonix.ru/wp/wp-content/uploads/2018/06/winsla640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618winsla.svg,Разработка корпоративной айдентики для повышения продаж
340,Эко-ферма,340,dairy-packaging,https://veonix.ru/wp/wp-content/uploads/2019/05/milkgasparov001.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logogasparov.svg,Разработка бренда молочной продукции
333,Производитель спортивных напитков,333,design-bottles,https://veonix.ru/wp/wp-content/uploads/2018/06/fil8.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618freshpoint.svg,Разработка дизайна бутылки и этикетки спортивной воды
336,Чайная компания,336,design-tea,https://veonix.ru/wp/wp-content/uploads/2018/06/design-tea.png,https://veonix.ru/wp/wp-content/uploads/2018/06/p25.svg,Разработать дизайн упаковки для чая
396,Unicredit Bank,396,dizajn-prezentacij-dlya-obucheniya-sotrudnikov-unicredit-bank,https://veonix.ru/wp/wp-content/uploads/UniCredit_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/UniCredit_logo.svg,Разработка серии презентаций
341,Индивидуальный предприниматель,341,dizajn-upakovki-vitamin,https://veonix.ru/wp/wp-content/uploads/Octagon_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/Octagon_logo.svg,Стильный дизайн для товаров на Amazon
343,Fit & Eat,343,dizajn-upakovok-dlya-arahisovoj-i-kokosovoj-past-fit-eat,https://veonix.ru/wp/wp-content/uploads/Peanut-butter_preview-1.png,https://veonix.ru/wp/wp-content/uploads/fit_eat_logo.svg,Разработать яркий и узнаваемый дизайн упаковок для двух видов продуктов здорового питания
342,Agro Export Russia,342,dizajn-vystavki,https://veonix.ru/wp/wp-content/uploads/Agro_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/Agrologo_white.svg,Разработать книгу фирменного стиля для единого оформления деловых мероприятий бренда
352,Евраз Металл Инпром,352,evraz,https://veonix.ru/wp/wp-content/uploads/2018/06/fil19.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618-6.svg,Разработка презентации производства
353,Косметическая компания Летуаль,353,flying-presentation,https://veonix.ru/wp/wp-content/uploads/2018/06/letoile640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618-3.svg,Создание презентации
344,Корпоративный университет «Газпром»,344,gazprom-training-video,https://veonix.ru/wp/wp-content/uploads/Gazprom_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/Gazprom_logo.svg,Монтаж обучающих видеороликов
408,"Салон красоты ""Aiva""",408,hair-salon-studio-hair-studio,https://veonix.ru/wp/wp-content/uploads/2019/05/Aiva-03-640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logo-aiva4.svg,Разработка лендинга для получения заявок из таргетированной рекламы
363,Кальяны DarkSide,363,hookah-presentation,https://veonix.ru/wp/wp-content/uploads/2018/12/presentaciyakalyannoy.png,https://veonix.ru/wp/wp-content/uploads/2018/12/hookah.svg,Разработка презентации
378,Страховая компания “Паритет-СК”,378,insurance-company-annual-report,https://veonix.ru/wp/wp-content/uploads/2019/06/paritetsk640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/paritetlogo.svg,Создание динамичной презентации
419,Производитель гречишного чая “The Ritual”,419,internet-magazin-chay,https://veonix.ru/wp/wp-content/uploads/The-ritual-tea_preview.jpg,https://veonix.ru/wp/wp-content/uploads/the-ritual-tea-01.svg,Разработать дизайн сайта и упаковки для чая
347,Коммерческая недвижимость KnightFrank,347,knight-frank-presentation,https://veonix.ru/wp/wp-content/uploads/2018/06/fil3.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/p8.svg,Создание каталога для риэлторского агентства
373,Студия декора “Червалина”,373,marketing-kit-dekor,https://veonix.ru/wp/wp-content/uploads/2019/05/chervalin640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logochervalina.svg,Разработка маркетинг-кита с каталогом продукции
356,Waltz&Tietz,356,marketing-whale-investment,https://veonix.ru/wp/wp-content/uploads/2018/06/wt2640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/walttietze-1.svg,Маркетинг-кит для инвесторов
399,Mercury DV,399,mercury-dv-sozdanie-prezentacii-dlya-kitajskih-biznes-partnjorov,https://veonix.ru/wp/wp-content/uploads/image-432.jpg,https://veonix.ru/wp/wp-content/uploads/Mercury-DV-2-1.svg,Создание презентации для китайских бизнес-партнёров 
388,"Музыкальная платформа ""Millennium""",388,millennium,https://veonix.ru/wp/wp-content/uploads/2019/07/millennium640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/07/millenniumlogo.svg,Презентации для демонстрации инвесторам
380,Агентство по развитию человеческого капитала на Дальнем Востоке,380,navigator-professions,https://veonix.ru/wp/wp-content/uploads/2019/06/navigatorpr640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/dv.svg,Разработка 6-го издания аналитического журнала
139,OneTelecom,139,nomer-bilajn-sajt,https://veonix.ru/wp/wp-content/uploads/OneT_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/OneT_logo.svg,Создать сайт для продажи телефонных номеров
416,Партнер Билайн — OneTelecom,416,nomer-bilajn-sajt,https://veonix.ru/wp/wp-content/uploads/2019/09/oldbeliever640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/09/logoslavic.svg,Разработка сайта для помощи в переселении.
413,Администрация президента,413,old-believers,https://veonix.ru/wp/wp-content/uploads/2018/06/east640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color190618-2.svg,Разработка двуязычного корпоративного портала на Bitrix
406,Power Meal Eco People,406,online-sports-store,https://veonix.ru/wp/wp-content/uploads/2018/11/internetmagazinsportpit.png,https://veonix.ru/wp/wp-content/uploads/2018/11/power-meal-logo.svg,Разработка интернет-магазина
371,"Магазин у дома ""Вино и Еда""",371,order-presentation-store,https://veonix.ru/wp/wp-content/uploads/2018/08/zakazat-presentaciyu-magazina.png,https://veonix.ru/wp/wp-content/uploads/2019/01/Вино-и-еда.svg,Разработка презентации магазина
351,Амурский судостроительный завод,351,osk-shipbuilding-presentation,https://veonix.ru/wp/wp-content/uploads/2018/06/ock640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618-1.svg,Создание презентации о компании
390,Правительство Московской области,390,parks-msk-obl,https://veonix.ru/wp/wp-content/uploads/2019/07/parkmoscow1640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/07/parklogo.svg,Инфографика и картография
392,Агрегатор event-услуг Party Case,392,party-case,https://veonix.ru/wp/wp-content/uploads/2020/04/partycase640x425.png,https://veonix.ru/wp/wp-content/uploads/2020/04/logopartycase.svg,Разработка продающей презентации
140,Пентхаус,140,penthaus-chastnyj-investor,https://veonix.ru/wp/wp-content/uploads/s1.jpg,https://veonix.ru/wp/wp-content/uploads/PENTHAUS.svg,Частный инвестор
366,Рекламное агентство Дефа,366,presentation-advertising-agency,https://veonix.ru/wp/wp-content/uploads/2019/01/presentaciyareklamnogoagentstva.png,https://veonix.ru/wp/wp-content/uploads/2019/01/def.svg,Выход на рынок интеграционных услуг
348,Страховая компания «Allianz».,348,presentation-allianz,https://veonix.ru/wp/wp-content/uploads/2018/06/allianz640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618allianz-26.svg,Разработка комплекта презентационных материалов
381,"Косметологическая клиника ""Jeu Demeure""",381,presentation-beauty-clinics,https://veonix.ru/wp/wp-content/uploads/2019/06/jeudemeure640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/jeu-demeurelogo.svg,Разработка продающей презентации
368,Строительная компания VSGroup,368,presentation-building-company,https://veonix.ru/wp/wp-content/uploads/2019/01/presentaciyastroitelnoykompanii.png,https://veonix.ru/wp/wp-content/uploads/2019/01/лого_vsgroup.svg,Участие в тендерах
379,"Коттеджный поселок ""Level House""",379,presentation-cottage-village,https://veonix.ru/wp/wp-content/uploads/2019/06/levelhouse640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/levelhouselogo.svg,"Разработка стильной, эмоциональной презентации коттеджного поселка для потенциальных покупателей"
385,"Отделочная компании ""New Stone""",385,presentation-finishing-company,https://veonix.ru/wp/wp-content/uploads/2019/06/newstone640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/newstonelogo.svg,Портфолио выполненных работ
357,Киберспортивная организация,357,presentation-for-sponsors,https://veonix.ru/wp/wp-content/uploads/2018/06/fil29.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618team-empire.svg,Разработка презентации для спонсоров
359,Международная страховая компания,359,presentation-insurance-company,https://veonix.ru/wp/wp-content/uploads/2018/06/zakazat-presentaciyu-strakhovoy-kompanii.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618iic.svg,Разработка презентации под заказ
360,Интер РАО ЕЭС,360,presentation-inter-rao-ees,https://veonix.ru/wp/wp-content/uploads/2018/06/fil36.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color_18_06_18_РаоЕЭС.svg,Разработка внутренней презентации
350,Дизайнер и декоратор интерьеров,350,presentation-interior-design,https://veonix.ru/wp/wp-content/uploads/2018/06/zgodina640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618zgodina.svg,Разработка маркетинг-кита для продаж в новом клиентском сегменте
367,Интернет провайдер Ясенево.Онлайн,367,presentation-internet-provider,https://veonix.ru/wp/wp-content/uploads/2019/01/presentaciyaprovaydera.png,https://veonix.ru/wp/wp-content/uploads/2019/01/лого_ясенево.svg,Презентация услуг провайдера
370,Merith Ltd,370,presentation-medical-center,https://veonix.ru/wp/wp-content/uploads/2019/01/meritph640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/01/Мерит-фарм.svg,Упаковка медицинской компании
358,METRO Cash & Carry,358,presentation-metro-cash-carry,https://veonix.ru/wp/wp-content/uploads/2018/06/fil33.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/p21.svg,Разработка презентации франшизы
372,Застройщик vip-апартаментов,372,presentation-neighborhood-home,https://veonix.ru/wp/wp-content/uploads/2019/02/boevadacha001.png,https://veonix.ru/wp/wp-content/uploads/2019/02/boevadachalogo.svg,Разработка продающей презентации
365,"Фабрика кухни ""Комбинат""",365,presentation-of-catering-company,https://veonix.ru/wp/wp-content/uploads/2018/12/presentaciyakeyteringovoykompanii.png,https://veonix.ru/wp/wp-content/uploads/2018/12/комбинат_на-сайт_5.svg,Привлечение новых клиентов
387,"Инжиниринговая компания ""Fibcom""",387,presentation-of-engineering-company,https://veonix.ru/wp/wp-content/uploads/2019/06/fibcom640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/fibcomlogo.svg,Разработать убедительный маркетинг-кит
382,"Консалтинговая компания в сфере промышленной недвижимости ""Ires Group""",382,presentation-of-industrial-real-estate,https://veonix.ru/wp/wp-content/uploads/2019/06/ires640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/ireslogo.svg,Разработка 16-страничной продающей презентации
376,Тульская администрация,376,presentation-of-the-tula-region,https://veonix.ru/wp/wp-content/uploads/2019/06/tula640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/tulalogo.svg,Привлечение инвесторов в Тульский регион
383,Администрация региона Югра,383,presentation-of-the-ugra-region,https://veonix.ru/wp/wp-content/uploads/2018/11/presentaciyadlyainvestorov.png,https://veonix.ru/wp/wp-content/uploads/2019/06/fondugralogo.svg,Разработать инфографичную презентацию для демонстрации на официальном мероприятии.
375,"Российский лидер по производству манекенов ""Mannequins""",375,presentation-production-investment,https://veonix.ru/wp/wp-content/uploads/2019/05/mannequin640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logomannequin.svg,Разработка презентации для потенциальных инвесторов
354,Кондитерский бутик,354,presentation-rental-shopping-center,https://veonix.ru/wp/wp-content/uploads/2018/06/fil6.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/crepelogo-1.svg,Создание презентации для аренды в ТЦ
346,Международная компания Schneider Electric,346,presentation-schneider-electric,https://veonix.ru/wp/wp-content/uploads/2018/06/schnider640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/p26.svg,"Маркетинговая ""упаковка"" нового направления бизнеса"
384,Екатерина Ковская,384,presentation-singer-artist,https://veonix.ru/wp/wp-content/uploads/2019/06/kovskaya640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/kovskayalogo.svg,Разработать медиакит с элементами райдера для певицы
395,Министерство Сельского Хозяйства Российской Федерации,395,prezentaciya-ministerstva-selskogo-hozyajstva-rossijskoj-federacii,https://veonix.ru/wp/wp-content/uploads/msh_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/logo_msh_white.svg,Разработать серию инфографичных презентаций
398,Needfinding Сбер,398,prezentaciya-sberbanka,https://veonix.ru/wp/wp-content/uploads/sber_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/Sber_logo.svg,Разработать информативную презентацию
397,"Компания ""Спортмастер""",397,prezentaciya-sportmaster,https://veonix.ru/wp/wp-content/uploads/Sportmaster_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/Sportmaster_logo.svg,Разработать серию презентаций для проведения внутренних тренингов
393,Научно-производственное объединение «ТВЛ»,393,protein-tvl,https://veonix.ru/wp/wp-content/uploads/2020/04/proteintvl640x425.png,https://veonix.ru/wp/wp-content/uploads/2020/04/logotvl.svg,Наглядно выразить все преимущества товара в презентации
404,Новостройки Москвы,404,real-estate-site,https://veonix.ru/wp/wp-content/uploads/2018/06/site-realty.png,https://veonix.ru/wp/wp-content/uploads/2018/06/соболев_лого.svg,Разработка лендинг-пейдж
362,Кадровое агентство HRMNY,362,recruitment-agency-presentation,https://veonix.ru/wp/wp-content/uploads/2018/11/presentaciyakadrovogoagentstva.png,https://veonix.ru/wp/wp-content/uploads/2018/11/hrmny-logo.svg,Разработка презентации 
332,IT-компания 4 Lines Business,332,redesign-it-companies,https://veonix.ru/wp/wp-content/uploads/2018/06/fil5.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618for-bus.svg,Разработка корпоративной айдентики
386,"Ресторан ""China Life""",386,restaurant-presentation,https://veonix.ru/wp/wp-content/uploads/2019/06/shinalife640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/shinalifelogo.svg,Разработка презентации ресторана для арендодателя
138,ПАРИТЕТ-СК,138,sajt-strahovoj-kompanii-sogaz,https://veonix.ru/wp/wp-content/uploads/Paritet_sogaz_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/Paritet_logo.svg,Создание сайта
369,Холдинг Сибур,369,sibur-presentation,https://veonix.ru/wp/wp-content/uploads/2019/01/sibur640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/01/sbr.svg,Разработка внутренней презентации
137,DUFT,137,site-duft,https://veonix.ru/wp/wp-content/uploads/Duft_640x425-1.jpg,https://veonix.ru/wp/wp-content/uploads/Duft_logo.svg,Создание сайта для бренда
389,Криптовалютная биржи в Москве,389,sm-trade,https://veonix.ru/wp/wp-content/uploads/2019/07/smtrade640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/07/smtradelogo.svg,Дизайн презентации
414,Сервис по продаже ретро автомобилей,414,sozdanie-sajta-i-logotipa-dlya-aukciona-retro-avtomobilej-exclusive-impex,https://veonix.ru/wp/wp-content/uploads/ExlusiveImpex_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/ExlusiveImplex_logo.svg,Разработать логотип и подробный сайт в стиле «ретро»
415,Artistro Art Supplies,415,sozdanie-sajta-tovarov-dlya-hudozhnikov-artistro,https://veonix.ru/wp/wp-content/uploads/Artistro_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/Artistro_logo.svg,Редизайн сайта 
418,Строительная компания «ДОМА.ЛОФТ»,418,sozdaniya-sajta-dlya-stroitelnoj-kompanii-doma-loft,https://veonix.ru/wp/wp-content/uploads/OneT_640x425-1.jpg,https://veonix.ru/wp/wp-content/uploads/domaloft_logo.svg,Создание сайта
401,Инновационный стартап mKey,401,start-up-site-order,https://veonix.ru/wp/wp-content/uploads/2018/06/fil14.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color190618m-key.svg,Разработка сайта для стартапа
374,Приемная Государственной Думы Российской Федерации,374,state-duma-presentation,https://veonix.ru/wp/wp-content/uploads/2019/05/gosduma640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logogosduma.svg,Наглядная подача информации о направлениях работы
394,Mr. Hairy Navel,394,table-games,https://veonix.ru/wp/wp-content/uploads/2020/04/tablegames640x425.png,https://veonix.ru/wp/wp-content/uploads/2020/04/logotablegames.svg,Привлечение инвесторов для настольной игры
403,Мобильный ассистент,403,transport-company-website,https://veonix.ru/wp/wp-content/uploads/2018/06/site-transportnoy-kompanii.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618mobileassistance.svg,Разработка веб-сервиса
402,Хоккейная школа HockeyWay,402,zakazat-sajt-shkoly,https://veonix.ru/wp/wp-content/uploads/2018/06/hockey640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color190618-3.svg,Разработка дизайна сайтов
411,"Поставщик оборудования для линейно-угловых измерений и поверки СИ ""Zanger""",411,zanger,https://veonix.ru/wp/wp-content/uploads/2019/09/zangerweb640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/09/zangerlogo.svg,Разработка сайта для производственной компании
,,,,https://veonix.ru/wp/wp-content/uploads/q1.jpg,https://veonix.ru/wp/wp-content/uploads/Mytishhinskaya-Yarmarka-logo.svg,